id_empresa;nombre_empresa;tipo_empresa;direccion_empresa;id_region;nombre_region;id_comuna;nombre_comuna;fono_empresa;horario_atencion;latitud;longitud;marca;logo;logo_svg;logo_horizontal_svg;tamano;medida;precio
gad1312601;GAS DON JORGE;Distribuidora GLP;CARRASCAL 6083;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,416199105699;-70,713633674869;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;5;kg;11000
gad1312601;GAS DON JORGE;Distribuidora GLP;CARRASCAL 6083;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,416199105699;-70,713633674869;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;11;kg;17400
gad1312601;GAS DON JORGE;Distribuidora GLP;CARRASCAL 6083;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,416199105699;-70,713633674869;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;15;kg;23900
gad1312601;GAS DON JORGE;Distribuidora GLP;CARRASCAL 6083;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,416199105699;-70,713633674869;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;45;kg;71500
gad1312602;GAS DON JORGE;Distribuidora GLP;NEPTUNO 1939;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,421907;-70,7179718;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;5;kg;11000
gad1312602;GAS DON JORGE;Distribuidora GLP;NEPTUNO 1939;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,421907;-70,7179718;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;11;kg;17400
gad1312602;GAS DON JORGE;Distribuidora GLP;NEPTUNO 1939;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,421907;-70,7179718;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;15;kg;23900
gad1312602;GAS DON JORGE;Distribuidora GLP;NEPTUNO 1939;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,421907;-70,7179718;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;45;kg;71500
gad1312603;GAS DON JORGE;Distribuidora GLP;BRISAS DEL RIO 2601;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,4135905;-70,7164127;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;5;kg;11000
gad1312603;GAS DON JORGE;Distribuidora GLP;BRISAS DEL RIO 2601;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,4135905;-70,7164127;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;11;kg;17400
gad1312603;GAS DON JORGE;Distribuidora GLP;BRISAS DEL RIO 2601;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,4135905;-70,7164127;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;15;kg;23900
gad1312603;GAS DON JORGE;Distribuidora GLP;BRISAS DEL RIO 2601;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,4135905;-70,7164127;gasco;http://api.cne.cl/brands/1720130729122044.jpg;http://api.cne.cl/brands/gasco.svg;http://api.cne.cl/brands/gasco-horizontal.svg;45;kg;71500
abd1312601;GAS DON JORGE;Distribuidora GLP;CARRASCAL 6083;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,416138657567;-70,713714141139;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;5;kg;11000
abd1312601;GAS DON JORGE;Distribuidora GLP;CARRASCAL 6083;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,416138657567;-70,713714141139;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;11;kg;17700
abd1312601;GAS DON JORGE;Distribuidora GLP;CARRASCAL 6083;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,416138657567;-70,713714141139;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;15;kg;24200
abd1312601;GAS DON JORGE;Distribuidora GLP;CARRASCAL 6083;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,416138657567;-70,713714141139;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;45;kg;72500
abd1312602;GAS DON JORGE;Distribuidora GLP;NEPTUNO 1939;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,421907;-70,7179718;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;5;kg;11000
abd1312602;GAS DON JORGE;Distribuidora GLP;NEPTUNO 1939;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,421907;-70,7179718;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;11;kg;17700
abd1312602;GAS DON JORGE;Distribuidora GLP;NEPTUNO 1939;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,421907;-70,7179718;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;15;kg;24200
abd1312602;GAS DON JORGE;Distribuidora GLP;NEPTUNO 1939;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,421907;-70,7179718;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;45;kg;72500
abd1312603;GAS DON JORGE;Distribuidora GLP;BRISAS DEL RIO 2601;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,4135905;-70,7164127;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;5;kg;11000
abd1312603;GAS DON JORGE;Distribuidora GLP;BRISAS DEL RIO 2601;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,4135905;-70,7164127;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;11;kg;17700
abd1312603;GAS DON JORGE;Distribuidora GLP;BRISAS DEL RIO 2601;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,4135905;-70,7164127;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;15;kg;24200
abd1312603;GAS DON JORGE;Distribuidora GLP;BRISAS DEL RIO 2601;13;Metropolitana de Santiago;13126;Quinta Normal;+56 27739764-27863121;24 Horas;-33,4135905;-70,7164127;abastible;http://api.cne.cl/brands/1820130712111413.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;45;kg;72500
lid1311301;MG LTDA;Distribuidora GLP;LA FORJA 8570;13;Metropolitana de Santiago;13113;La Reina;+56 28626000;24 Horas;-33,4542824;-70,5436609;lipigas;http://api.cne.cl/brands/1720130729122214.jpg;http://api.cne.cl/brands/lipigas.svg;http://api.cne.cl/brands/lipigas-horizontal.svg;5;kg;11800
lid1311301;MG LTDA;Distribuidora GLP;LA FORJA 8570;13;Metropolitana de Santiago;13113;La Reina;+56 28626000;24 Horas;-33,4542824;-70,5436609;lipigas;http://api.cne.cl/brands/1720130729122214.jpg;http://api.cne.cl/brands/lipigas.svg;http://api.cne.cl/brands/lipigas-horizontal.svg;11;kg;20600
